college,draft_team,draft_year
University of Louisiana at Lafayette,Philadelphia 76ers,2014
University of Louisville,Philadelphia 76ers,2014
North Carolina State University,Phoenix Suns,2014
Syracuse University,Phoenix Suns,2014
University of Michigan,Sacramento Kings,2014
Baylor University,San Antonio Spurs,2014
"University of California, Los Angeles",San Antonio Spurs,2014
University of Tennessee,San Antonio Spurs,2014
"Mississippi State University, Duke University",Utah Jazz,2014
University of Tennessee,Utah Jazz,2014
"University of Tulsa, University of Missouri",Washington Wizards,2014
University of Kansas,Atlanta Hawks,2015
Georgia State University,Boston Celtics,2015
Louisiana State University,Boston Celtics,2015
University of Louisville,Boston Celtics,2015
Syracuse University,Brooklyn Nets,2015
University of Notre Dame,Brooklyn Nets,2015
University of Wisconsin,Charlotte Hornets,2015
University of Arkansas,Chicago Bulls,2015
Duke University,Cleveland Cavaliers,2015
University of Virginia,Dallas Mavericks,2015
University of Arizona,Detroit Pistons,2015
Villanova University,Detroit Pistons,2015
"University of California, Los Angeles",Golden State Warriors,2015
University of Louisville,Houston Rockets,2015
University of Wisconsin,Houston Rockets,2015
"University of Houston, University of Oregon",Indiana Pacers,2015
University of Texas at Austin,Indiana Pacers,2015
Ohio State University,Los Angeles Lakers,2015
Stanford University,Los Angeles Lakers,2015
University of Wyoming,Los Angeles Lakers,2015
Louisiana State University,Memphis Grizzlies,2015
Duke University,Miami Heat,2015
University of Tennessee,Miami Heat,2015
"University of California, Los Angeles",Milwaukee Bucks,2015
"University of Nevada, Las Vegas",Milwaukee Bucks,2015
Syracuse University,Minnesota Timberwolves,2015
University of Kentucky,Minnesota Timberwolves,2015
Michigan State University,New Orleans Pelicans,2015
Murray State University,Oklahoma City Thunder,2015
University of Kentucky,Oklahoma City Thunder,2015
Bowling Green State University,Philadelphia 76ers,2015
Duke University,Philadelphia 76ers,2015
University of Kentucky,Phoenix Suns,2015
University of Kentucky,Phoenix Suns,2015
University of Arizona,Portland Trail Blazers,2015
University of Kentucky,Sacramento Kings,2015
University of Utah,Toronto Raptors,2015
University of Kentucky,Utah Jazz,2015
University of Notre Dame,Washington Wizards,2015
Oakland University,Atlanta Hawks,2016
Saint Joseph's University,Atlanta Hawks,2016
Michigan State University,Boston Celtics,2016
"Northern Illinois University, Iowa State University",Boston Celtics,2016
Providence College,Boston Celtics,2016
University of California,Boston Celtics,2016
University of Notre Dame,Boston Celtics,2016
University of North Carolina,Brooklyn Nets,2016
Syracuse University,Charlotte Hornets,2016
Michigan State University,Chicago Bulls,2016
Purdue University,Dallas Mavericks,2016
Florida State University,Denver Nuggets,2016
University of Connecticut,Denver Nuggets,2016
University of Kentucky,Denver Nuggets,2016
"Duke University, Syracuse University",Detroit Pistons,2016
Marquette University,Detroit Pistons,2016
